participant_id,session,trial_sequence,is_practice,global_stim_idx,stim_file,response_adjective,response_feelings,rt_ms,onset_iso,gender,age
"AnatolySh",1,1,1,138,Figure S139.png,"угрожающий","Напряжение, настороженность, скованность",9676,2026-08-06T15:50:33.559Z,"Мужской","50"
"AnatolySh",1,2,1,110,Figure S111.png,"игривый","Интерес, радость, предвосхищение",2016,2026-08-06T15:50:43.236Z,"Мужской","50"
"AnatolySh",1,3,1,2,Figure S3.png,"любящий","Тепло, нежность, лёгкая тревога",2527,2026-08-06T15:50:45.252Z,"Мужской","50"
"AnatolySh",1,4,1,1,Figure S2.png,"обвиняющий","Беспокойство, вина, тревога",5984,2026-08-06T16:00:45.291Z,"Мужской","50"
"AnatolySh",1,1,0,22,Figure S23.png,"презрительный","гнев, отвращение, презрение",595,2026-08-06T16:00:51.276Z,"Мужской","50"
"AnatolySh",1,2,0,51,Figure S52.png,"испытующий","сосредоточенность, спокойствие, интерес",576,2026-08-06T16:00:51.871Z,"Мужской","50"
"AnatolySh",1,3,0,58,Figure S59.png,"высокомерный","раздражение, отвращение, вина",952,2026-08-06T16:00:52.448Z,"Мужской","50"
"AnatolySh",1,4,0,65,Figure S66.png,"восторженный","радость, интерес, спокойствие",5412,2026-08-06T16:09:01.583Z,"Мужской","50"
"AnatolySh",1,5,0,69,Figure S70.png,"сосредоточенный","интерес, спокойствие",179,2026-08-06T16:09:06.996Z,"Мужской","50"
"AnatolySh",1,6,0,12,Figure S13.png,"удивлённый","интерес, спокойствие",377,2026-08-06T16:09:07.175Z,"Мужской","50"
"AnatolySh",1,7,0,130,Figure S131.png,"печальный","печаль, спокойствие, сочувствие",187,2026-08-06T16:09:07.552Z,"Мужской","50"
"AnatolySh",1,8,0,132,Figure S133.png,"ужас","опасения, тревога",168,2026-08-06T16:09:07.739Z,"Мужской","50"
"AnatolySh",1,9,0,91,Figure S92.png,"заинтересованный","интерес, спокойствие",168,2026-08-06T16:09:07.907Z,"Мужской","50"
"AnatolySh",1,10,0,5,Figure S6.png,"удивлённый","удивление, интерес",184,2026-08-06T16:09:08.075Z,"Мужской","50"
"AnatolySh",1,11,0,55,Figure S56.png,"виноватый","сочувствие, печаль",171,2026-08-06T16:09:08.260Z,"Мужской","50"
"AnatolySh",1,12,0,137,Figure S138.png,"гневный","напряжённость, сосредоточенность",176,2026-08-06T16:09:08.431Z,"Мужской","50"
"AnatolySh",1,13,0,109,Figure S110.png,"смеющийся","радость, интерес",192,2026-08-06T16:09:08.607Z,"Мужской","50"
"AnatolySh",1,14,0,94,Figure S95.png,"осуждающий","напряжённость, тревога",215,2026-08-06T16:09:08.799Z,"Мужской","50"
"AnatolySh",1,15,0,112,Figure S113.png,"любующийся","радость, спокойствие",484,2026-08-06T16:09:09.015Z,"Мужской","50"
"AnatolySh",1,16,0,13,Figure S14.png,"обвиняющий","вина, тревога",228,2026-08-06T16:09:09.500Z,"Мужской","50"
"AnatolySh",1,17,0,127,Figure S128.png,"мстительный","интерес, сосредоточеность",428,2026-08-06T16:09:09.728Z,"Мужской","50"
"AnatolySh",1,18,0,81,Figure S82.png,"ожидающий","спокойствие, интерес",23332,2026-08-06T16:09:10.156Z,"Мужской","50"
"AnatolySh",1,19,0,126,Figure S127.png,"обиженный","напряжённость, отвращение",25732,2026-08-06T16:09:33.487Z,"Мужской","50"
"AnatolySh",1,20,0,7,Figure S8.png,"изумлённый","интерес",17056,2026-08-06T16:09:59.219Z,"Мужской","50"
"AnatolySh",1,21,0,50,Figure S51.png,"сожалеющий","печаль, сочувствие",19579,2026-08-06T16:10:16.276Z,"Мужской","50"
"AnatolySh",1,22,0,64,Figure S65.png,"игривый","любопытство, предвкушение радости",16676,2026-08-06T16:10:35.855Z,"Мужской","50"
"AnatolySh",1,23,0,40,Figure S41.png,"шокированный","спокойствие",31888,2026-08-06T16:10:52.531Z,"Мужской","50"
"AnatolySh",1,24,0,18,Figure S19.png,"сожалеющий","сочувствие, интерес",20444,2026-08-06T16:11:24.419Z,"Мужской","50"
