participant_id,session,trial_sequence,is_practice,global_stim_idx,stim_file,response_adjective,response_feelings,rt_ms,onset_iso,gender,age
"fgdsgfdgdf",1,1,1,2,Figure S3.png,"любящий","Тепло, нежность, лёгкая тревога",1226,2026-08-25T05:20:43.496Z,"Мужской","65"
"fgdsgfdgdf",1,2,1,138,Figure S139.png,"угрожающий","Напряжение, настороженность, скованность",286,2026-08-25T05:20:44.725Z,"Мужской","65"
"fgdsgfdgdf",1,3,1,110,Figure S111.png,"игривый","Интерес, радость, предвосхищение",222,2026-08-25T05:20:45.012Z,"Мужской","65"
"fgdsgfdgdf",1,4,1,1,Figure S2.png,"обвиняющий","Беспокойство, вина, тревога",226,2026-08-25T05:20:45.235Z,"Мужской","65"
"fgdsgfdgdf",1,1,0,99,Figure S100.png,,,246,2026-08-25T05:20:45.462Z,"Мужской","65"
"fgdsgfdgdf",1,2,0,128,Figure S129.png,,,235,2026-08-25T05:20:45.709Z,"Мужской","65"
"fgdsgfdgdf",1,3,0,71,Figure S72.png,,,240,2026-08-25T05:20:45.944Z,"Мужской","65"
"fgdsgfdgdf",1,4,0,55,Figure S56.png,"ryrey",,2231,2026-08-25T05:20:46.185Z,"Мужской","65"
"fgdsgfdgdf",1,5,0,114,Figure S115.png,,,212,2026-08-25T05:20:48.417Z,"Мужской","65"
"fgdsgfdgdf",1,6,0,142,Figure S143.png,,,220,2026-08-25T05:20:48.630Z,"Мужской","65"
"fgdsgfdgdf",1,7,0,130,Figure S131.png,,,208,2026-08-25T05:20:48.851Z,"Мужской","65"
"fgdsgfdgdf",1,8,0,31,Figure S32.png,,,208,2026-08-25T05:20:49.059Z,"Мужской","65"
"fgdsgfdgdf",1,9,0,32,Figure S33.png,,,190,2026-08-25T05:20:49.269Z,"Мужской","65"
"fgdsgfdgdf",1,10,0,88,Figure S89.png,,,201,2026-08-25T05:20:49.459Z,"Мужской","65"
"fgdsgfdgdf",1,11,0,19,Figure S20.png,,,221,2026-08-25T05:20:49.661Z,"Мужской","65"
"fgdsgfdgdf",1,12,0,101,Figure S102.png,,,196,2026-08-25T05:20:49.883Z,"Мужской","65"
"fgdsgfdgdf",1,13,0,79,Figure S80.png,,,206,2026-08-25T05:20:50.079Z,"Мужской","65"
"fgdsgfdgdf",1,14,0,91,Figure S92.png,,,197,2026-08-25T05:20:50.285Z,"Мужской","65"
"fgdsgfdgdf",1,15,0,118,Figure S119.png,,,213,2026-08-25T05:20:50.483Z,"Мужской","65"
"fgdsgfdgdf",1,16,0,20,Figure S21.png,,,205,2026-08-25T05:20:50.697Z,"Мужской","65"
"fgdsgfdgdf",1,17,0,123,Figure S124.png,,,208,2026-08-25T05:20:50.903Z,"Мужской","65"
"fgdsgfdgdf",1,18,0,40,Figure S41.png,,,242,2026-08-25T05:20:51.111Z,"Мужской","65"
"fgdsgfdgdf",1,19,0,108,Figure S109.png,,,173,2026-08-25T05:20:51.353Z,"Мужской","65"
"fgdsgfdgdf",1,20,0,38,Figure S39.png,,,301,2026-08-25T05:20:51.528Z,"Мужской","65"
"fgdsgfdgdf",1,21,0,21,Figure S22.png,,,659,2026-08-25T05:20:51.829Z,"Мужской","65"
"fgdsgfdgdf",1,22,0,12,Figure S13.png,,"ry",1860,2026-08-25T05:20:52.488Z,"Мужской","65"
"fgdsgfdgdf",1,23,0,67,Figure S68.png,"sssssss",,4084,2026-08-25T05:20:54.349Z,"Мужской","65"
"fgdsgfdgdf",1,24,0,47,Figure S48.png,,,759,2026-08-25T05:20:58.433Z,"Мужской","65"
