participant_id,session,trial_sequence,is_practice,global_stim_idx,stim_file,response_adjective,response_feelings,rt_ms,onset_iso,gender,age
"ilia",1,1,1,1,Figure S2.png,"обвиняющий","Беспокойство, вина, тревога",43138,2026-08-10T12:43:57.497Z,"Мужской","28"
"ilia",1,2,1,110,Figure S111.png,"игривый","Интерес, радость, предвосхищение",15099,2026-08-10T12:44:40.640Z,"Мужской","28"
"ilia",1,3,1,138,Figure S139.png,"угрожающий","Напряжение, настороженность, скованность",5649,2026-08-10T12:44:55.740Z,"Мужской","28"
"ilia",1,4,1,2,Figure S3.png,"любящий","Тепло, нежность, лёгкая тревога",7885,2026-08-10T12:45:01.390Z,"Мужской","28"
"ilia",1,1,0,117,Figure S118.png,,,1218,2026-08-10T12:45:40.942Z,"Мужской","28"
"ilia",1,2,0,88,Figure S89.png,,"fff",2507,2026-08-10T12:45:47.382Z,"Мужской","28"
"ilia",1,3,0,48,Figure S49.png,,,546,2026-08-10T12:45:49.891Z,"Мужской","28"
"ilia",1,4,0,118,Figure S119.png,,,609,2026-08-10T12:45:50.438Z,"Мужской","28"
"ilia",1,5,0,87,Figure S88.png,,,562,2026-08-10T12:45:51.049Z,"Мужской","28"
"ilia",1,6,0,71,Figure S72.png,,,6869,2026-08-10T12:45:53.246Z,"Мужской","28"
"ilia",1,7,0,33,Figure S34.png,,,563,2026-08-10T12:46:00.116Z,"Мужской","28"
"ilia",1,8,0,136,Figure S137.png,,,672,2026-08-10T12:46:00.679Z,"Мужской","28"
"ilia",1,9,0,119,Figure S120.png,,,3333,2026-08-10T12:46:01.351Z,"Мужской","28"
"ilia",1,10,0,90,Figure S91.png,,,654,2026-08-10T12:46:04.685Z,"Мужской","28"
"ilia",1,11,0,132,Figure S133.png,,,716,2026-08-10T12:46:05.342Z,"Мужской","28"
"ilia",1,12,0,28,Figure S29.png,,,899,2026-08-10T12:46:06.058Z,"Мужской","28"
"ilia",1,13,0,11,Figure S12.png,,,582,2026-08-10T12:46:06.959Z,"Мужской","28"
"ilia",1,14,0,123,Figure S124.png,,,14115,2026-08-10T12:46:07.542Z,"Мужской","28"
"ilia",1,15,0,130,Figure S131.png,,,1161,2026-08-10T12:46:21.659Z,"Мужской","28"
"ilia",1,16,0,13,Figure S14.png,,,1110,2026-08-10T12:46:22.820Z,"Мужской","28"
"ilia",1,17,0,91,Figure S92.png,,,479,2026-08-10T12:46:23.931Z,"Мужской","28"
"ilia",1,18,0,77,Figure S78.png,,,437,2026-08-10T12:46:24.411Z,"Мужской","28"
"ilia",1,19,0,114,Figure S115.png,,,425,2026-08-10T12:46:24.849Z,"Мужской","28"
"ilia",1,20,0,127,Figure S128.png,,,405,2026-08-10T12:46:25.277Z,"Мужской","28"
"ilia",1,21,0,19,Figure S20.png,,,546,2026-08-10T12:46:25.683Z,"Мужской","28"
"ilia",1,22,0,95,Figure S96.png,,,688,2026-08-10T12:46:26.231Z,"Мужской","28"
"ilia",1,23,0,52,Figure S53.png,,,748,2026-08-10T12:46:26.920Z,"Мужской","28"
"ilia",1,24,0,41,Figure S42.png,,,123460,2026-08-10T12:46:27.669Z,"Мужской","28"
